                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9053,                 2.5832,                 2.1474,                0.81077,                   0.36,                0.50872,                0.19866,                 2.0211,                 2.3032,                 2.0714,               0.070116,              0.0033205,              0.0033205
                      1,                 1.6115,                 1.8301,                 1.8321,                 0.8872,                   0.44,                0.61611,                0.26047,                 1.8765,                 2.1279,                 1.9842,                0.04005,              0.0065879,              0.0065879
                      2,                 1.6729,                 1.8903,                 1.9012,                0.73371,                   0.48,                0.50925,                0.16437,                 2.3883,                 2.6014,                 2.6203,              0.0099181,              0.0097894,              0.0097894
                      3,                 1.7297,                   1.93,                 1.9734,                0.99347,                   0.32,                0.43107,                0.13799,                 2.3381,                 3.0048,                 2.4729,               0.009703,               0.009703,               0.009703
                      4,                 1.7475,                 1.9822,                 1.9861,                0.44191,                0.38054,                0.46224,                0.17662,                 2.1779,                 2.1982,                 2.3828,               0.009703,               0.009703,               0.009703
                      5,                 1.7377,                 1.8955,                 1.9592,                0.99984,                   0.76,                  0.818,                 0.3197,                 2.1176,                 1.6554,                 2.2983,               0.009604,               0.009604,               0.009604
                      6,                 1.6975,                 1.8031,                  1.944,                0.57502,                   0.64,                0.58991,                0.25635,                 2.0767,                 1.8896,                 2.3117,               0.009505,               0.009505,               0.009505
                      7,                 1.6805,                 1.7933,                 1.9297,                0.71828,                   0.64,                0.64967,                0.23625,                 2.2741,                 2.2978,                 2.4873,               0.009406,               0.009406,               0.009406
                      8,                 1.6741,                 1.7665,                 1.9004,                0.97109,                    0.6,                0.67962,                0.33828,                 2.0715,                 1.6006,                 2.1414,               0.009307,               0.009307,               0.009307
                      9,                 1.6361,                 1.7143,                  1.878,                0.94659,                   0.72,                0.73868,                0.29721,                 2.0676,                 1.5621,                 2.3055,               0.009208,               0.009208,               0.009208
                     10,                 1.6229,                 1.6607,                 1.8647,                 0.8193,                    0.6,                0.71207,                  0.248,                 2.3317,                 1.5692,                 2.4334,               0.009109,               0.009109,               0.009109
                     11,                 1.6107,                 1.6152,                 1.8549,                0.80894,                   0.76,                0.71738,                0.29759,                 2.1727,                 1.6085,                 2.2336,                0.00901,                0.00901,                0.00901
                     12,                 1.5917,                 1.5819,                 1.8391,                0.70559,                   0.68,                0.65777,                0.25123,                 2.4217,                 1.7712,                 2.5424,               0.008911,               0.008911,               0.008911
                     13,                 1.5814,                 1.5765,                 1.8281,                0.77149,                   0.76,                0.68814,                0.25349,                 2.1462,                 1.5378,                 2.1773,               0.008812,               0.008812,               0.008812
                     14,                 1.5654,                 1.5383,                 1.8128,                0.99847,                   0.76,                0.82547,                0.32103,                 2.2154,                 1.3155,                   2.24,               0.008713,               0.008713,               0.008713
                     15,                 1.5535,                 1.4926,                  1.808,                0.86693,                    0.6,                0.72457,                0.27895,                 2.1619,                 1.8754,                 2.2311,               0.008614,               0.008614,               0.008614
                     16,                 1.5337,                 1.4471,                 1.7841,                0.64286,                    0.6,                0.61609,                0.28584,                 2.1671,                 1.6508,                 2.3248,               0.008515,               0.008515,               0.008515
                     17,                 1.5075,                 1.4355,                 1.7826,                0.80803,                   0.64,                 0.7118,                0.32876,                 2.1069,                 1.4197,                 2.2306,               0.008416,               0.008416,               0.008416
                     18,                 1.5099,                 1.4433,                 1.7705,                 0.8864,                0.62475,                0.74009,                0.24137,                  2.311,                 1.5401,                 2.4167,               0.008317,               0.008317,               0.008317
                     19,                 1.4923,                 1.4063,                 1.7772,                 0.7898,                   0.64,                0.63873,                 0.2773,                 2.1349,                    1.7,                    2.3,               0.008218,               0.008218,               0.008218
                     20,                 1.4941,                 1.3986,                 1.7679,                  0.678,                   0.72,                0.66933,                0.27717,                 2.5179,                 1.3744,                 2.6527,               0.008119,               0.008119,               0.008119
                     21,                 1.4712,                 1.3429,                 1.7485,                0.89183,                 0.6601,                0.77868,                0.36046,                 2.1043,                 1.4472,                 2.0898,                0.00802,                0.00802,                0.00802
                     22,                 1.4906,                  1.327,                 1.7474,                 0.7579,                   0.68,                0.71214,                0.33618,                 2.0865,                 1.5719,                 2.1036,               0.007921,               0.007921,               0.007921
                     23,                 1.4596,                  1.321,                 1.7401,                0.79372,                   0.56,                0.62356,                0.24873,                 2.2733,                 1.7262,                 2.4035,               0.007822,               0.007822,               0.007822
                     24,                 1.4496,                 1.3042,                 1.7274,                0.85186,                0.69041,                0.81276,                0.31772,                 2.2873,                 1.2166,                 2.3681,               0.007723,               0.007723,               0.007723
                     25,                 1.4528,                 1.2672,                 1.7102,                0.93235,                   0.68,                0.75238,                 0.3044,                 2.3147,                  1.418,                 2.3359,               0.007624,               0.007624,               0.007624
